Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010]
Botswana,BWA,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,51.96457,70.28089,71.65982,83.14456,80.87429,81.93748,..,..,85.76665,84.75539,86.2909,85.16733,82.81942,82.47229,83.98776,84.0029,87.55856,86.05692,88.18248,..,..
Brazil,BRA,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.85272,..,..,..,..,71.62493,..
British Virgin Islands,VGB,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85.52632
Brunei Darussalam,BRN,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,56.24344,54.4261,55.33461,65.75112,..,..,..,..,..,..,..,..,..,107.34402,104.50989,103.74815,103.22816,101.84379,115.33601,104.51993
Bulgaria,BGR,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,89.17205,84.61269,81.834,75.17606,75.37484,71.67158,90.41359,91.5775,..,61.05912,..,60.52477,58.31367,62.90309,62.5807,65.80504,64.07026,62.20569,58.15753,53.75673,49.97745
Burkina Faso,BFA,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,5.11716,5.15972,5.74521,5.73321,5.96561,..,..,..,..,..,6.54355,7.40017,..,8.1274,..,9.89394,10.89828,11.70406,14.73246,15.57054,16.43566
Burundi,BDI,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,3.00357,..,4.92473,5.11514,..,..,..,..,..,..,..,..,..,..,7.68856,8.08193,8.9551,..,11.87772,16.19274,16.34392
Cabo Verde,CPV,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,13.31648,..,..,..,24.46889,..,..,..,..,..,..,..,..,49.38194,50.34376,52.24584,70.2392,68.31535,73.44338,73.66437,72.32105
Cambodia,KHM,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,17.38647,..,22.32436,..,16.4301,23.52735,28.67975,31.42307,34.34418,36.52812,40.88509,45.99546,..,49.23261
Cameroon,CMR,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,22.21468,21.14928,..,..,..,..,..,..,..,..,..,..,..,22.24012,..,..,18.23391,19.60305,25.8272,24.27631,..
Canada,CAN,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,6.81159,7.07574,..,..,..,..,..,..,..,..,..,..,..,..,..,8.48282,..,..,..,9.34443,..
Chad,TCD,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,4.98328,4.81075,..,..,6.31065,5.95503,6.77946,..,..,..,8.80401,..,9.89145,10.12151,10.74446,..,11.76729,..,..,17.11953,16.12269
Channel Islands,CHI,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,90.1637,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,52.25259,54.33903,58.50177,63.27445,64.22088,66.41464,68.85211,76.86113,..,..,..,..,..,..,..,..,..,89.92982,91.44163,93.5169,96.44653
Colombia,COL,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,44.90647,..,..,..,..,66.42957,..,..,57.55111,63.06625,..,70.02624,75.96517,79.31076,82.24069,85.4016,93.02305,96.73419
Comoros,COM,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,21.90283,..,20.82335,17.17849,..,..,..,..,..,..,..,..,27.4978,30.96894,33.92619,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,10.76377,12.05883,15.84516,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Congo, Rep.",COG,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,33.77003,24.83934,..,29.93358,..,..,..,27.50844,33.96062,24.64975,27.74237,41.28611,..,..,..,44.92481,46.02784,45.08352
Costa Rica,CRI,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,28.19357,29.30604,31.56043,30.0027,31.79655,31.86625,31.50094,..,..,38.8891,45.06446,44.34793,45.8436,..,53.98951,58.07058,57.46311,57.81851,59.20702,55.65851,54.71223
Cote d'Ivoire,CIV,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,16.28971,18.61159,17.73418,18.32216,18.27732,18.22073,17.48092,21.60618,22.69777,..,23.99499,23.45335,25.38931,..,..,..,26.97106,27.04682,35.38294,33.58908,..
Croatia,HRV,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,90.10873,89.05897,85.92996,82.44598,..,85.47546,89.79992,89.85573,91.68254,90.08615,..,94.92039,97.87799,97.55219,99.587,102.02312,100.47459
Cuba,CUB,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,81.80373,85.75364,81.51549,78.4418,76.27943,69.6746,67.3084,81.16261,..,84.72524,95.65692,83.99983,87.48886,90.68709,92.52971,99.70533,95.70839,92.83399,93.27065,91.80025,92.38345
Curacao,CUW,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,61.87612,..,..,93.17381,98.62929,90.85932,91.68565,92.8565,..,88.63833,91.26858,91.52468,100.85302,95.85645,98.73726,99.84482,99.81641,86.62771,99.67532,100.984,94.71145
Czech Republic,CZE,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,106.85093,99.22212,101.85432,..,..,..,..,..,92.15523,91.68784,91.93924,92.07605,99.36935,94.24199,95.15679,94.83346,86.79832
Denmark,DNK,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.27005,97.17351,97.86575
Djibouti,DJI,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,8.59138,7.30216,..,..,10.02205,10.94215,..,14.01812,14.57309,..,17.22323,..,..,18.66755,20.12357,20.71854,21.28641,30.28649,..
Dominica,DMA,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,105.71646,103.65672,96.06299,91.12344,87.85425,86.72922,90.14374,85.08208
Dominican Republic,DOM,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,48.10391,..,..,..,..,56.64621,59.88762,..,63.25587,..,71.02263,73.65801,..,78.06735,83.20346,80.05856,81.64809
Ecuador,ECU,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,48.79375,..,..,..,..,56.97195,57.20712,56.7242,56.97947,57.05203,58.34636,60.57421,62.32265,64.35658,..,..,79.70518
"Egypt, Arab Rep.",EGY,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,68.89311,..,..,..,..,..,..,..,82.41801,78.76056,77.31626,..,..,..,..,73.66772,..
El Salvador,SLV,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,44.51498,45.74931,48.18911,..,54.39234,54.31272,..,..,..,..,63.39598,67.89314,72.77257,..,74.65199,72.41497,71.97722,72.74972,74.97818,81.12047
Equatorial Guinea,GNQ,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,..,16.53264,..,..,..,..,19.70647,..,..,..,..,..
Eritrea,ERI,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,12.96666,16.01917,17.78827,17.04236,..,25.14702,25.3065,24.28201,27.70401,26.05205,27.58764,..,30.34785,32.29601,33.16033,36.5163,37.11275
Estonia,EST,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,89.89307,94.61069,..,..,91.30035,90.01198,90.12398,93.95976,..,100.2816,104.52699,107.09061,..,103.61801,98.93954,97.66734
Ethiopia,ETH,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,11.85353,11.28056,10.80884,..,..,8.2937,..,..,..,..,..,18.88681,..,..,29.18372,27.66592,28.53858
Faroe Islands,FRO,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,90.48443,91.31697,..,..,..,93.0124,89.2995,..
Finland,FIN,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,111.50051,113.6075,114.36414,109.22212,104.40781,..,..,..,..,..,..,..,..,..,104.43921,103.56816,..,100.0379,..,96.15679,97.31518
France,FRA,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,83.2536,86.25415,90.86589,93.1202,84.01781,85.00181,85.28589,..,..,..,..,..,..,..,..,95.48144,103.78505,102.86497,101.24941,100.14448,101.24684
French Polynesia,PYF,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,21.71284,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Gambia, The",GMB,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,36.55815,39.63024,40.39303,40.96907,52.53519,60.52405,66.52838,66.15173,63.20141,57.75123,60.52423,60.10503
Georgia,GEO,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,79.7987,79.73609,83.34039,..,85.50227,84.45489,82.79935,81.1963,77.83571,79.46621,91.72133,94.04762,94.39585,88.15448,86.61857,95.44274
Germany,DEU,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,72.77895,74.79966,74.81287,76.47775,77.24645,..,..,..,..,..,..,78.85016,81.35479,..,85.94576,83.88127,..,..
Ghana,GHA,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,56.16053,59.90976,..,..,..,..,..,..,53.3196,54.3886,50.80079,55.24092,52.49003,53.88612,56.78942,..,..,64.01741,70.82442,..
Gibraltar,GIB,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,87.75138,87.25694,85.15433,..,..,..,..,..,..,..,..,..,..,..,..,88.89569,85.18484,93.64697,..,..,97.79554
Greenland,GRL,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,GRD,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,76.13105,..,..,..,..,..,..,..,..,91.94139,90.13469,..,79.64327,..,77.86325,84.32602,101.79724,..
Guam,GUM,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,26.88929,29.69219,32.93625,36.82201,..,40.47948,42.15837,46.14199,48.07665,50.28673,52.11748,56.64509
Guinea,GIN,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,7.70527,8.82614,8.3572,8.62469,10.5329,..,..,..,9.09112,..,10.88811,12.06371,..,16.20316,21.23555,23.14077,25.02064,30.59384,..,34.19581,35.54568
Guinea-Bissau,GNB,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,..,12.58542,..,..,..,..,..,..,..,..,..,35.23564
Guyana,GUY,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,83.3478,75.0102,74.43356,..,..,75.42694,77.06388,..,79.17305,93.81479,78.88044,..,..,..,..,..,..,73.5949,77.00401,77.69938
Haiti,HTI,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,18.44202,18.64038,..,..,..,..,..,24.85688,..,..,..,..,..,..,..,..,..,..,..,..,..
Honduras,HND,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,25.42541,..,..,..,..,..,..,..,..,..,..,..,..,..,45.37592,..,49.38798,..,..,..
"Hong Kong SAR, China",HKG,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,72.30903,72.57961,74.17341,75.19834,77.64484,78.63693,..,..,..,..,85.67533,86.71483,94.44236,93.68505,93.70467,93.62453,94.47717,95.99567,97.93459,101.40399
Hungary,HUN,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,99.71509,92.60727,84.85769,80.51802,..,..,..,91.5941,..,..,..,..,..,..,..,..,..,..,..,..,..
Iceland,ISL,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,102.2786,98.22222,94.88079,90.47062,90.86437,97.53521,107.56126,102.91218,106.96061,98.0786,..,99.51333,96.26547
India,IND,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,53.46232,56.66388,..,..,62.7654,..,68.30475,..,..
Indonesia,IDN,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,51.93627,..,..,..,..,..,..,69.14144,72.51234,73.61626,69.43382,70.32575,78.24917,74.99743,82.44332,85.74434
"Iran, Islamic Rep.",IRN,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,55.10061,53.06474,..,64.78912,70.39904,..,..,..,..,..,78.33148,75.60411,74.08134,82.44958,..,..,85.13115,..,88.54951,91.42724,88.36883
Iraq,IRQ,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,28.57682,..,..,..,..,..,25.38804,28.37175,..,..,..,48.46243,..,..,48.06149,..,..,..
Ireland,IRL,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,95.37096,94.4587,92.54736,89.31915,88.93477,90.46003,93.62949,95.78088,94.78409,97.55441,101.55515,102.32833,101.52055,101.80492,103.46789
Isle of Man,IMN,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,98.327,99.62583,103.95323,100.64241,97.17163,99.98074,95.93018,94.34235,98.18823
Italy,ITA,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,96.93125,97.46317,98.2002,98.87588,95.59917,96.74606,98.96803,98.87005,..,97.64082,..,97.43807,101.59287,101.14203,102.59127,102.50226,103.62882,100.72851,98.34022,98.5753,99.82248
Jamaica,JAM,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,96.59575,101.46057,..,100.00199,..,..,..,..,..,..,98.88122,96.18157,93.36836,93.73305,101.04605,..,..,..,..,100.06423,100.6562
Japan,JPN,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,102.59128,100.85144,101.24695,..,103.23493,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Jordan,JOR,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,88.59654,90.24955,89.35432,..,85.92066,88.79839,90.70625,..,..
Kazakhstan,KAZ,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,89.86018,..,..,93.76075,..,..,94.63088,99.40884,97.97661,94.19783,95.66713,94.56286,95.23691,94.8742,94.97371,100.64084,101.02932
Kenya,KEN,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kiribati,KIR,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,42.92068,50.67328,46.00812,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Dem. People’s Rep.",PRK,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,103.28817,..
"Korea, Rep.",KOR,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,108.62629,..,..,99.77279,93.39853,98.24165,96.66583,93.83394,90.9047,91.92673,93.16119,105.47281,107.00197,..,..,..
Kosovo,XKX,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kuwait,KWT,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,56.085,..,67.59823,79.20211,95.42064,97.60369,..,90.23378,95.56686,89.89341,95.18337,97.7702,101.45717,112.46534,81.80048,94.9974,91.34903,92.33988,92.54117
Kyrgyz Republic,KGZ,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,80.03181,..,..,..,92.46409,25.70954,92.6507,93.85865,90.06353,86.414,87.14894,86.71212,86.12074,83.43118,84.61155,89.31573
Lao PDR,LAO,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,22.60789,..,20.63304,21.98182,23.00507,..,..,26.92282,..,32.8632,35.34445,36.84257,40.67207,43.36498,45.4135,44.89663,42.8979,42.72995,43.87205,46.63543,41.4507
