Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010]
Botswana,BWA,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,85.62911,87.78922,87.12128,86.5281,86.29029,77.3424,77.74086,..,80.80208,80.47049,81.91937,83.91674,84.4831,84.7296,85.60882,84.68259,85.76939,84.96677,84.60177,85.00926,..
Brazil,BRA,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,98.07272,..,98.85493,96.72741,94.29506,95.58531,96.07993,..,92.47411,98.53831,96.58508,..
British Virgin Islands,VGB,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,91.46118,93.5757,96.29859,96.24339,98.80453,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bulgaria,BGR,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,94.26923,95.25916,97.76953,98.07911,97.90467,98.33146,97.50849,97.43998,96.95046,93.7879,92.30024,95.62913,97.65157,99.05919,99.33043
Burkina Faso,BFA,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,27.18227,27.70352,28.68706,29.91303,31.53517,..,..,34.9797,35.5137,36.74566,37.77188,36.72385,39.054,41.15568,45.97774,49.62345,54.95047,60.98584,63.84804,60.06821
Burundi,BDI,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,47.76948,..,..,..,..,..,..,40.65606,49.29948,48.65092,52.01444,53.51663,56.49404,72.44773,78.99457,88.8051,86.84153,91.52003
Cabo Verde,CPV,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,99.15651,..,..,..,99.13336,..,..,..,99.80936,..,97.6968,95.40303,95.07272,94.58446,92.96461,92.74444,92.42391,92.43809,92.50561,93.63354,95.24595
Cambodia,KHM,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,82.80338,84.64866,86.57655,92.32167,..,..,97.69941,..,..,94.49715,95.54383,94.23637,..,93.28083
Cameroon,CMR,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,72.02025,70.1302,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.22334,85.0537,..
Canada,CAN,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,95.27605,97.82846,97.57138,95.94382,95.38828,94.26078,95.18885,..,98.50748,99.78257,99.92205,..,..,..,..,..,..,..,..,..,..
